Species,Name,Nom,lifecycle,reproduction,variety,note
Sorbus aucuparia,Mountain ash,Sorbier,perenial,,dulcis | edulis| moravica,
Moringa oleifera,Moringa,Moringa,perenial,,...,
Ficus carica,Fig,Figier,perenial,,...,http://www.fig-baud.com/choixfiguiers.html
Opuntia ficus-indica,Prickly pear,Figier de barbarie,perenial,,...,
Ceratonia siliqua,Carob,Caroubier,perenial,,...,
Olea europea,Olive,Olivier,perenial,,...,
Vitis vinifera,Vine,Vigne,perenial,,...,
Prunus dulcis,Almond,Amande,perenial,,...,
Eucalyptus spp,Eucaliptus,Eucaliptus,perenial,,...,
Capparis spinosa,Caper,Capre,perenial,,...,
Punica granatum,Pomegranate,Grenade,perenial,,...,
Arbutus unedo,Strawberry tree,Arbousier,perenial,,...,
Cydonia oblonga,Quince,Cognacier,perenial,,...,
Crataegus azarolus,Azarole,Azarolier,perenial,,...,
Ziziphus jujuba,Jujube,Jujubier,perenial,,...,
Zanthoxylum piperitum,Japanese peper,Poivre du Sichuan,perenial,,...,
Physalis philadelphica,Tomatillo,Physalis,perenial,,...,
Portulaca oleracea,Purslane,Pourpier,annual,,...,
Smilax aspera,Rough bindweed,Salsepareille ,perenial,Dioecious,...,
Lupinus spp,Lupine,Lupin,perenial,,...,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4561814/
Solanum betaceum,Tamarillo,Tamarillo,perenial,,...,
Morus spp,Mulberry,Murier,perenial,,,https://www.crfg.org/pubs/ff/mulberry.html
Glycyrrhiza glabra,Licorice,Réglisse,perenial,,,
Stenocereus spp,Column cactus,Cactus colomnaire,perenial,,,
Hylocereus spp,Dragon fruit,Pitahaya,perenial,self sterile,,
Pinus maritimus + Lactarius deliciosus,,,,,,,
